work_id,sale_price
178,240.55555555555554
179,288.3333333333333
180,443.57142857142856
382,268.75
383,419.2857142857143
384,391.6666666666667
385,415.0
386,323.3333333333333
387,390.0
388,232.5
389,390.0
390,390.0
400,248.63636363636363
401,419.2857142857143
402,391.6666666666667
403,263.75
404,328.3333333333333
405,325.0
406,367.85714285714283
407,249.16666666666666
408,391.6666666666667
409,261.6666666666667
410,413.57142857142856
411,390.0
413,252.69230769230768
414,425.0
415,323.57142857142856
416,415.0
417,560.0
418,315.0
419,261.6666666666667
420,271.3636363636364
421,391.6666666666667
422,294.0
423,274.09090909090907
424,303.57142857142856
425,252.69230769230768
426,391.6666666666667
427,248.63636363636363
428,248.63636363636363
429,413.57142857142856
460,252.69230769230768
461,294.0
462,391.6666666666667
463,303.57142857142856
464,322.14285714285717
465,322.14285714285717
466,321.6666666666667
467,273.8888888888889
468,419.2857142857143
469,415.0
470,274.09090909090907
471,391.6666666666667
472,322.14285714285717
473,419.2857142857143
474,391.6666666666667
475,269.2857142857143
476,391.6666666666667
477,391.6666666666667
478,391.6666666666667
479,391.6666666666667
480,345.0
481,294.0
482,391.6666666666667
483,415.0
484,391.6666666666667
485,322.14285714285717
486,294.0
487,391.6666666666667
488,315.0
489,391.6666666666667
520,315.0
521,391.6666666666667
522,391.6666666666667
523,279.0
524,322.14285714285717
525,342.5
526,322.14285714285717
527,294.0
528,279.0
529,280.55555555555554
530,311.6666666666667
531,415.0
532,391.6666666666667
533,391.6666666666667
534,391.6666666666667
535,390.0
536,415.0
537,390.0
538,269.2857142857143
539,419.2857142857143
540,419.2857142857143
541,391.6666666666667
542,391.6666666666667
543,391.6666666666667
544,267.5
545,269.2857142857143
546,391.6666666666667
547,419.2857142857143
548,443.57142857142856
549,415.0
580,345.0
581,306.0
582,345.0
583,391.6666666666667
585,322.14285714285717
586,391.6666666666667
587,345.0
588,391.6666666666667
589,391.6666666666667
590,315.0
591,294.0
592,390.0
593,274.09090909090907
594,391.6666666666667
595,249.28571428571428
596,294.0
597,391.6666666666667
598,391.6666666666667
599,391.6666666666667
600,261.6666666666667
601,390.0
602,399.0
603,443.57142857142856
604,391.6666666666667
605,390.0
606,248.63636363636363
607,315.0
608,391.6666666666667
609,419.2857142857143
640,391.6666666666667
641,413.57142857142856
642,321.6666666666667
643,303.57142857142856
644,391.6666666666667
